ID,タイトル,URL,ソース,文字数,項目数,要約バージョン,作成日時,問題の深刻度
cmfg73yr5002ctetp7e1apg91,"Accelerate serverless testing with LocalStack integration in VS Code IDE",https://aws.amazon.com/blogs/aws/accelerate-serverless-testing-with-localstack-integration-in-vs-code-ide/,AWS,6726,3,8,2025-09-12T02:05:46.289Z,低
cmfc389080055tegub5w5dm5l,"AWS Weekly Roundup: AWS Transform, Amazon Neptune, and more (September 8, 2025)",https://aws.amazon.com/blogs/aws/aws-weekly-roundup-aws-transform-amazon-neptune-and-more-september-8-2025/,AWS,6678,4,8,2025-09-09T05:06:03.033Z,低
cmeruhj82001ltehnhppa44u5,"AWS Weekly Roundup: Amazon Aurora 10th anniversary, Amazon EC2 R8 instances, Amazon Bedrock and more (August 25, 2025)",https://aws.amazon.com/blogs/aws/aws-weekly-roundup-amazon-aurora-10th-anniversary-amazon-ec2-r8-instances-amazon-bedrock-and-more-august-25-2025/,AWS,6597,3,8,2025-08-26T01:05:56.115Z,低
cmej5gi2x001ste1lguvp33a5,"Best performance and fastest memory with the new Amazon EC2 R8i and R8i-flex instances",https://aws.amazon.com/blogs/aws/best-performance-and-fastest-memory-with-the-new-amazon-ec2-r8i-and-r8i-flex-instances/,AWS,6116,3,8,2025-08-19T23:03:08.170Z,低
cmehq19p3002ctesfmqyn8i0x,"AWS Weekly Roundup: Single GPU P5 instances, Advanced Go Driver, Amazon SageMaker HyperPod and more (August 18, 2025)",https://aws.amazon.com/blogs/aws/aws-weekly-roundup-single-gpu-p5-instances-advanced-go-driver-amazon-sagemaker-hyperpod-and-more-august-18-2025/,AWS,6105,4,8,2025-08-18T23:03:37.047Z,低
cmdtm6qfy003ote4dfwyhin3k,"Amazon DocumentDB Serverless is now available",https://aws.amazon.com/blogs/aws/amazon-documentdb-serverless-is-now-available/,AWS,6028,3,8,2025-08-02T02:09:25.343Z,低
cmflqgag7001jtekpcdihgarz,"AWS named as a Leader in 2025 Gartner Magic Quadrant for Cloud-Native Application Platforms and Container Management",https://aws.amazon.com/blogs/aws/aws-named-as-a-leader-in-2025-gartner-magic-quadrant-for-cloud-native-application-platforms-and-container-management/,AWS,5549,3,8,2025-09-15T23:06:04.904Z,低
cmflqgail001ztekpg5plwn9t,"AWS Weekly Roundup: Strands Agents 1M+ downloads, Cloud Club Captain, AI Agent Hackathon, and more (September 15, 2025)",https://aws.amazon.com/blogs/aws/aws-weekly-roundup-strands-agents-1m-downloads-cloud-club-captain-ai-agent-hackathon-and-more-september-15-2025/,AWS,5462,3,8,2025-09-15T23:06:04.989Z,低
cmea7uml60009ten8a5lhiddj,"Meet our newest AWS Heroes — August 2025",https://aws.amazon.com/blogs/aws/meet-our-newest-aws-heroes-august-2025/,AWS,5378,4,8,2025-08-13T17:00:10.843Z,低
cmdq44kul000vte3tb15nxlvk,"AWS Weekly Roundup: SQS fair queues, CloudWatch generative AI observability, and more (July 28, 2025)",https://aws.amazon.com/blogs/aws/aws-weekly-roundup-sqs-fair-queues-cloudwatch-generative-ai-observability-and-more-july-28-2025/,AWS,5341,4,8,2025-07-30T15:20:33.165Z,低
cme7ptwr20012teibm8rzlotf,"AWS Weekly Roundup: OpenAI models, Automated Reasoning checks, Amazon EVS, and more (August 11, 2025)",https://aws.amazon.com/blogs/aws/aws-weekly-roundup-openai-models-automated-reasoning-checks-amazon-evs-and-more-august-11-2025/,AWS,5093,4,8,2025-08-11T23:00:11.918Z,低
